Component,Qty,Price (USD),Price (INR),Store,Links
Custom ESP32 PCB Prototype (5 pcs),5,7,585,JLCPCB,From Screenshot
Custom ESP32 PCBA Assembled (2 pcs),2,58.05,4849,JLCPCB,From Screenshot
Shipping,1,11.2,936,JLCPCB,From Screenshot
PN532 NFC Module,1,3.04,254,robocraze.in,https://robocraze.com/products/nfc-near-field-communication-rf-id-v3-module?variant=40193169096857
"2.4"" SPI TFT Display",1,5.54,463,robocraze.in,https://robocraze.com/products/2-4in-tft-display-for-uno-board-compatible-with-arduino
Kailh Silver Mechanical Switches,10,2.99,250,cosmicbyte.in,https://www.thecosmicbyte.com/product/kailh-mechanical-switches-for-swappable-keyboards-pack-of-10/?attribute_pa_switch-type=silver-switch
DSA Keycaps,10,1.8,150,amazon.in,https://www.amazon.in/MAXBELL-Keycaps-Switches-Mechanical-Keyboard/dp/B09GPQCRC5
NFC Cards,5,3,260,amazon.in,https://www.amazon.in/Cards-Works-Android-Blank-Printable/dp/B0DH4Q9GY9/
3D Printed Case,,,,Self-Printed,Have mine
,,,,,
Total,,92.62,7747,,
